# decision options: KEEP, CREATE, EXPAND, MERGE, RENAME, DELETE, ADD_TO_BLUEPRINT
source,tab,position,blueprint_name,blueprint_type,blueprint_phase,repo_file,status,word_count,has_title,has_description,brand_violations,decision,notes
REPO_ONLY,ABOUT,,,,,v2/about/_workspace/deprecated/dep-bridge-lpt-to-arbitrum.mdx,EXISTS,1297,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/_workspace/deprecated/livepeer-governance.mdx,STUB,15,false,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/_workspace/deprecated/livepeer-protocol/technical-overview.mdx,STUB,3,false,false,,,
REPO_ONLY,ABOUT,,,,,v2/about/_workspace/deprecated/livepeer-token-economics.mdx,EXISTS,189,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/_workspace/faq-blueprint.mdx,PLACEHOLDER,2200,true,true,banned:just; deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/concepts/about-livepeer.mdx,EXISTS,1668,true,true,banned:just,,
REPO_ONLY,ABOUT,,,,,v2/about/concepts/actors-and-capabilities.mdx,EXISTS,2036,true,true,banned:just; deprecated:broadcaster->gateway; deprecated:miner->orchestrator,,
REPO_ONLY,ABOUT,,,,,v2/about/concepts/composables/actors.mdx,EXISTS,418,true,true,banned:leverage; deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/concepts/composables/network.mdx,EXISTS,549,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/concepts/composables/overview.mdx,EXISTS,257,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/concepts/composables/protocol.mdx,EXISTS,1290,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/concepts/governance-and-economics.mdx,EXISTS,2239,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/concepts/index.mdx,PLACEHOLDER,71,false,false,,,
REPO_ONLY,ABOUT,,,,,v2/about/concepts/livepeer-stack.mdx,EXISTS,944,true,true,banned:leverage; deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/concepts/unclassified/about-livepeer-all.mdx,EXISTS,1076,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/concepts/unclassified/core-principles.mdx,EXISTS,184,false,false,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/concepts/unclassified/livepeer-capabilities.mdx,EXISTS,2132,true,true,deprecated:miner->orchestrator,,
REPO_ONLY,ABOUT,,,,,v2/about/concepts/unclassified/protocol-and-network.mdx,EXISTS,1294,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/guides/builders-guide.mdx,EXISTS,796,true,true,banned:leverage,,
REPO_ONLY,ABOUT,,,,,v2/about/guides/changelogs/go-livepeer.mdx,STUB,0,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/guides/changelogs/lips.mdx,STUB,0,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/guides/contributor-orientation.mdx,EXISTS,69,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/guides/evaluating-livepeer.mdx,EXISTS,240,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/guides/gateways-vs-orchestrators.mdx,EXISTS,182,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/guides/governance-and-voting.mdx,EXISTS,820,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/guides/livepeer-network.mdx,EXISTS,697,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/guides/livepeer-token.mdx,EXISTS,818,true,true,banned:just,,
REPO_ONLY,ABOUT,,,,,v2/about/guides/network-metrics.mdx,EXISTS,1783,true,true,deprecated:broadcaster->gateway,,
REPO_ONLY,ABOUT,,,,,v2/about/guides/network-tools-and-metrics.mdx,EXISTS,848,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/guides/protocol-design.mdx,EXISTS,995,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/guides/technical-roadmap.mdx,EXISTS,107,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/guides/treasury-and-proposals.mdx,EXISTS,810,true,true,,,
REPO_ONLY,ABOUT,,,,,v2/about/index.mdx,EXISTS,97,true,true,,,
